Date,Open,High,Low,Close*,Adj Close**,Volume,3day_before_change
"Sep 09, 2020",11.24,11.64,11.09,11.54,11.54,"6,950,200",-
"Sep 08, 2020",10.85,11.18,10.72,10.89,10.89,"7,034,600",-
"Sep 04, 2020",11.77,11.80,10.64,11.22,11.22,"9,617,900",-
"Sep 03, 2020",12.67,12.97,11.50,11.63,11.63,"16,398,900",0.8095238095238096
"Sep 02, 2020",14.14,14.20,12.56,13.24,13.24,"16,107,900",0.8803936411809236
"Sep 01, 2020",13.31,13.97,13.12,13.86,13.86,"13,810,900",-
"Aug 31, 2020",13.01,13.44,12.77,13.21,13.21,"8,914,900",-
"Aug 28, 2020",12.39,12.97,12.32,12.92,12.92,"5,961,600",1.0224458204334366
"Aug 27, 2020",12.43,12.53,12.11,12.39,12.39,"3,463,500",1.0866274179983177
"Aug 26, 2020",12.00,12.67,12.00,12.42,12.42,"4,195,100",1.0438079191238416
"Aug 25, 2020",11.82,12.02,11.71,11.89,11.89,"2,771,300",-
"Aug 24, 2020",12.11,12.23,11.69,11.87,11.87,"3,045,500",-
"Aug 21, 2020",12.10,12.22,11.73,11.94,11.94,"3,401,400",0.9941373534338358
"Aug 20, 2020",11.51,12.33,11.42,12.23,12.23,"3,968,000",1.0310880829015543
"Aug 19, 2020",11.62,11.85,11.50,11.63,11.63,"2,374,100",1.0746924428822495
"Aug 18, 2020",11.38,11.62,11.33,11.58,11.58,"1,767,200",-
"Aug 17, 2020",11.32,11.50,11.29,11.38,11.38,"1,667,500",-
"Aug 14, 2020",11.48,11.54,11.21,11.26,11.26,"1,815,700",1.0106571936056838
"Aug 13, 2020",11.40,11.78,11.39,11.50,11.50,"2,322,100",0.9991126885536824
"Aug 12, 2020",11.36,11.52,11.31,11.39,11.39,"2,745,700",1.0204081632653061
"Aug 11, 2020",11.25,11.59,11.23,11.27,11.27,"2,575,700",-
"Aug 10, 2020",11.22,11.44,10.97,11.27,11.27,"3,043,800",-
"Aug 07, 2020",11.50,11.62,11.10,11.25,11.25,"3,031,600",1.0017777777777777
"Aug 06, 2020",11.84,11.85,11.56,11.57,11.57,"1,971,900",0.9723422644770959
"Aug 05, 2020",11.66,11.93,11.62,11.86,11.86,"2,689,500",1.0052128583840139
