Date,Open,High,Low,Close*,Adj Close**,Volume,3day_before_change
"Sep 09, 2020",210.20,216.25,205.65,211.79,211.79,"11,221,100",-
"Sep 08, 2020",206.05,214.14,202.42,205.63,205.63,"11,695,900",-
"Sep 04, 2020",233.77,234.94,205.25,216.26,216.26,"26,988,700",-
"Sep 03, 2020",248.61,251.90,225.16,242.01,242.01,"31,591,200",0.8045386904761904
"Sep 02, 2020",282.72,290.23,251.12,265.16,265.16,"25,428,200",1.0852466367713005
"Sep 01, 2020",240.68,271.44,237.00,268.80,268.80,"20,852,300",-
"Aug 31, 2020",218.67,224.14,215.51,223.00,223.00,"3,933,300",-
"Aug 28, 2020",218.05,223.82,215.10,215.24,215.24,"3,472,100",1.0360527782939974
"Aug 27, 2020",214.15,217.90,209.15,214.77,214.77,"2,419,000",1.0494904675995904
"Aug 26, 2020",209.01,218.42,207.34,214.41,214.41,"3,575,100",1.0502714069147636
"Aug 25, 2020",203.46,205.50,199.01,205.09,205.09,"2,317,000",-
"Aug 24, 2020",212.57,213.44,201.55,204.49,204.49,"3,033,000",-
"Aug 21, 2020",214.42,216.40,209.17,210.18,210.18,"2,965,800",0.9729279665049005
"Aug 20, 2020",207.49,215.50,206.27,214.48,214.48,"2,359,200",1.0033895068506231
"Aug 19, 2020",209.91,212.17,205.33,208.21,208.21,"1,880,800",1.0326432354357247
"Aug 18, 2020",213.49,213.53,207.69,209.47,209.47,"2,763,900",-
"Aug 17, 2020",202.24,209.83,201.98,207.70,207.70,"2,590,500",-
"Aug 14, 2020",201.35,204.46,197.21,199.71,199.71,"1,952,600",1.0400080116168444
"Aug 13, 2020",194.22,203.85,193.62,199.38,199.38,"4,048,000",1.0411323115420708
"Aug 12, 2020",192.65,196.88,189.12,193.30,193.30,"4,591,100",1.005040830728904
"Aug 11, 2020",197.51,199.84,191.38,191.82,191.82,"4,488,600",-
"Aug 10, 2020",206.36,207.60,193.60,198.38,198.38,"5,006,500",-
"Aug 07, 2020",215.19,215.42,199.17,204.76,204.76,"5,653,500",0.9688415706192616
"Aug 06, 2020",226.75,228.50,212.06,215.68,215.68,"4,525,300",0.8993323963457484
"Aug 05, 2020",227.68,229.83,225.06,226.02,226.02,"1,962,800",0.9531553827116847
"Aug 04, 2020",225.20,229.41,221.24,227.68,227.68,"2,598,200",-
"Aug 03, 2020",218.72,227.33,218.33,226.28,226.28,"3,207,100",-
"Jul 31, 2020",216.88,217.70,210.35,216.83,216.83,"3,083,300",1.0435825300926993
"Jul 30, 2020",206.11,215.00,205.00,213.94,213.94,"4,382,800",1.1021704874701368
"Jul 29, 2020",198.60,210.48,198.60,209.15,209.15,"4,529,500",1.090029041626331
"Jul 28, 2020",196.27,202.11,195.14,196.73,196.73,"2,475,200",-
"Jul 27, 2020",191.65,197.80,188.71,196.27,196.27,"2,341,800",-
"Jul 24, 2020",193.00,194.74,186.77,190.95,190.95,"3,984,200",1.027860696517413
"Jul 23, 2020",204.00,208.80,196.61,198.49,198.49,"3,302,400",0.9498582301149081
"Jul 22, 2020",201.37,204.50,199.33,203.98,203.98,"3,011,500",0.982672409525224
"Jul 21, 2020",203.82,204.87,198.29,201.03,201.03,"3,955,600",-
"Jul 20, 2020",197.90,202.91,196.58,201.99,201.99,"4,309,000",-
"Jul 17, 2020",191.10,196.84,188.66,196.41,196.41,"3,102,400",1.0284099587597373
"Jul 16, 2020",190.00,193.50,186.20,191.72,191.72,"3,771,200",0.9998981825586722
"Jul 15, 2020",193.93,195.20,188.34,192.83,192.83,"5,429,600",1.008946426691927
"Jul 14, 2020",191.00,196.94,181.50,196.43,196.43,"7,466,200",-
"Jul 13, 2020",211.51,211.84,185.14,190.02,190.02,"9,412,900",-
"Jul 10, 2020",212.53,213.40,204.15,210.11,210.11,"4,808,000",0.9043834182095093
"Jul 09, 2020",211.50,217.00,206.59,212.42,212.42,"10,243,100",1.062503160556258
"Jul 08, 2020",200.97,206.55,200.28,206.35,206.35,"6,248,700",1.1141298646805833
"Jul 07, 2020",191.39,202.65,189.59,197.75,197.75,"6,189,500",-
"Jul 06, 2020",196.45,199.45,190.00,190.66,190.66,"6,495,700",-
"Jul 02, 2020",181.00,199.49,178.51,190.99,190.99,"13,225,100",-
"Jul 01, 2020",171.25,180.38,170.80,178.96,178.96,"3,770,500",1.1125415040484652
"Jun 30, 2020",172.36,174.48,169.77,172.21,172.21,"3,462,400",-
"Jun 29, 2020",176.24,177.00,166.61,171.67,171.67,"5,126,900",-
"Jun 26, 2020",168.77,180.45,164.22,177.58,177.58,"8,570,600",0.9667192251379658
"Jun 25, 2020",165.00,169.80,161.63,168.40,168.40,"3,364,900",1.0646282973621104
