Date,Open,High,Low,Close*,Adj Close**,Volume,3day_before_change
"Sep 09, 2020",24.21,24.71,23.70,23.79,23.79,"2,449,900",-
"Sep 08, 2020",24.25,24.99,23.61,23.81,23.81,"2,627,600",-
"Sep 04, 2020",26.00,26.36,23.10,25.15,25.15,"7,157,700",-
"Sep 03, 2020",27.00,27.45,24.60,25.97,25.97,"14,339,600",0.6862210095497954
"Sep 02, 2020",37.00,37.24,33.36,34.99,34.99,"5,942,300",0.7949188858279767
"Sep 01, 2020",34.00,36.84,33.82,36.65,36.65,"4,252,000",-
"Aug 31, 2020",30.92,32.91,30.87,32.67,32.67,"2,633,500",-
"Aug 28, 2020",30.47,31.20,30.47,30.70,30.70,"917,800",1.064169381107492
"Aug 27, 2020",30.27,30.47,29.65,30.30,30.30,"951,400",1.0608154803040772
"Aug 26, 2020",29.34,31.00,29.32,30.25,30.25,"1,944,400",1.0676532769556026
"Aug 25, 2020",28.20,29.21,27.81,28.94,28.94,"782,100",-
"Aug 24, 2020",29.27,29.27,28.01,28.38,28.38,"825,700",-
"Aug 21, 2020",29.63,30.36,28.85,29.04,29.04,"1,257,600",0.9772727272727273
"Aug 20, 2020",28.70,30.19,28.26,29.80,29.80,"958,800",1.0048442906574395
"Aug 19, 2020",28.94,29.33,28.19,28.89,28.89,"822,700",1.0325710325710327
"Aug 18, 2020",29.08,29.34,28.68,28.90,28.90,"653,600",-
"Aug 17, 2020",29.28,29.59,28.52,28.86,28.86,"679,700",-
"Aug 14, 2020",29.67,29.81,28.71,29.18,29.18,"512,900",0.9890335846470185
"Aug 13, 2020",28.80,29.89,28.79,29.50,29.50,"1,167,100",1.0167247386759581
"Aug 12, 2020",28.84,29.72,28.70,28.85,28.85,"1,115,300",1.040197461212976
"Aug 11, 2020",28.10,28.88,27.25,28.70,28.70,"1,086,300",-
"Aug 10, 2020",30.00,30.18,26.98,28.36,28.36,"1,331,100",-
"Aug 07, 2020",31.50,32.00,29.38,29.85,29.85,"1,410,900",0.9500837520938022
"Aug 06, 2020",33.00,33.09,31.29,31.60,31.60,"900,100",0.9641472868217055
"Aug 05, 2020",31.08,32.94,30.50,32.84,32.84,"1,527,400",1.0289807880169326
"Aug 04, 2020",30.77,31.09,30.27,30.96,30.96,"814,400",-
"Aug 03, 2020",30.54,30.95,30.04,30.71,30.71,"1,145,700",-
"Jul 31, 2020",29.32,30.48,29.32,30.48,30.48,"875,600",1.0075459317585302
"Jul 30, 2020",29.32,30.48,29.04,29.91,29.91,"1,635,600",1.0816181689141235
"Jul 29, 2020",28.48,29.96,28.40,29.94,29.94,"1,934,400",1.0674518201284797
"Jul 28, 2020",27.87,28.76,27.50,28.18,28.18,"1,988,900",-
"Jul 27, 2020",27.14,28.22,26.72,28.02,28.02,"1,753,300",-
"Jul 24, 2020",26.83,27.20,26.46,27.05,27.05,"1,529,700",1.0358595194085027
"Jul 23, 2020",27.70,27.92,26.96,27.40,27.40,"1,349,100",0.982921511627907
"Jul 22, 2020",27.58,27.79,27.16,27.67,27.67,"917,900",1.0155670867309117
"Jul 21, 2020",27.36,27.89,26.74,27.52,27.52,"1,502,300",-
"Jul 20, 2020",26.14,27.19,26.13,26.98,26.98,"2,072,000",-
"Jul 17, 2020",25.39,25.94,25.09,25.76,25.76,"1,092,900",1.0473602484472049
"Jul 16, 2020",25.30,25.49,24.39,25.30,25.30,"1,328,700",1.0141732283464568
"Jul 15, 2020",25.66,25.97,24.96,25.81,25.81,"1,074,900",0.9855862874951304
"Jul 14, 2020",25.36,25.76,24.36,25.40,25.40,"1,889,000",-
"Jul 13, 2020",28.40,28.70,25.65,25.67,25.67,"2,281,300",-
"Jul 10, 2020",30.01,30.18,28.11,28.22,28.22,"1,727,000",0.9096385542168676
"Jul 09, 2020",30.35,30.50,29.02,30.08,30.08,"2,376,700",0.948890383322125
"Jul 08, 2020",29.84,30.13,29.13,30.06,30.06,"1,044,100",1.0131357359380262
"Jul 07, 2020",29.80,30.24,29.42,29.74,29.74,"1,077,500",-
"Jul 06, 2020",30.28,30.62,29.50,29.69,29.69,"2,424,300",-
"Jul 02, 2020",30.21,30.74,29.91,30.01,30.01,"1,633,900",-
"Jul 01, 2020",28.62,30.22,28.50,29.80,29.80,"1,714,500",1.0717857142857143
"Jun 30, 2020",28.19,28.86,27.89,28.62,28.62,"1,287,000",-
"Jun 29, 2020",29.05,29.05,27.50,28.00,28.00,"1,739,500",-
