Date,Open,High,Low,Close*,Adj Close**,Volume,3day_before_change
"Sep 09, 2020",34.62,35.91,34.46,35.51,35.51,"9,467,000",-
"Sep 08, 2020",32.63,35.93,32.49,34.03,34.03,"13,495,600",-
"Sep 04, 2020",35.32,36.24,32.84,34.38,34.38,"14,893,600",-
"Sep 03, 2020",37.80,37.97,35.41,35.93,35.93,"16,725,600",0.8962460896767467
"Sep 02, 2020",39.04,39.64,36.91,38.81,38.81,"15,752,400",0.9766240826311497
"Sep 01, 2020",36.87,38.67,36.30,38.36,38.36,"20,043,400",-
"Aug 31, 2020",35.42,37.11,35.19,36.79,36.79,"17,002,900",-
"Aug 28, 2020",34.61,35.38,33.95,35.34,35.34,"8,025,100",1.0410299943406902
"Aug 27, 2020",34.43,34.97,33.61,34.49,34.49,"10,750,500",1.0372761960669212
"Aug 26, 2020",34.18,34.98,33.80,34.31,34.31,"9,093,700",1.0483282674772036
"Aug 25, 2020",33.16,34.31,32.85,34.07,34.07,"9,347,000",-
"Aug 24, 2020",33.95,34.14,32.51,32.90,32.90,"16,739,800",-
"Aug 21, 2020",34.55,34.75,33.58,34.19,34.19,"16,864,600",0.9622696694940042
"Aug 20, 2020",34.74,34.90,33.65,34.50,34.50,"12,815,000",0.9502501389660923
"Aug 19, 2020",35.79,38.23,34.49,34.53,34.53,"29,472,900",0.9854327335047129
"Aug 18, 2020",35.98,37.29,35.18,35.98,35.98,"18,262,900",-
"Aug 17, 2020",34.61,35.32,34.19,35.01,35.01,"12,219,500",-
"Aug 14, 2020",34.75,35.10,34.46,34.68,34.68,"7,352,600",1.009515570934256
"Aug 13, 2020",35.27,35.75,34.59,34.86,34.86,"12,172,200",1.008139534883721
"Aug 12, 2020",34.64,35.93,33.56,35.53,35.53,"13,941,900",0.9721137757947574
"Aug 11, 2020",34.93,35.52,34.34,34.40,34.40,"11,420,100",-
"Aug 10, 2020",36.51,36.79,34.94,35.86,35.86,"22,474,600",-
"Aug 07, 2020",35.85,37.25,34.30,34.98,34.98,"19,687,900",1.0251572327044025
"Aug 06, 2020",36.26,36.27,35.36,35.90,35.90,"10,960,200",1.0020051561157262
"Aug 05, 2020",35.00,36.28,34.64,35.88,35.88,"15,446,200",0.9950110864745011
"Aug 04, 2020",34.72,35.07,33.80,34.91,34.91,"38,072,700",-
"Aug 03, 2020",34.60,37.33,34.29,36.08,36.08,"45,779,300",-
"Jul 31, 2020",33.56,34.50,31.00,34.29,34.29,"111,863,700",1.05220180810732
"Jul 30, 2020",24.59,25.37,24.41,25.19,25.19,"16,260,300",1.42875
"Jul 29, 2020",24.33,25.16,24.24,24.95,24.95,"9,551,500",1.0379068809229501
"Jul 28, 2020",24.16,24.46,23.88,24.00,24.00,"5,295,900",-
"Jul 27, 2020",24.48,24.59,23.84,24.27,24.27,"6,881,100",-
"Jul 24, 2020",24.22,24.69,23.56,24.54,24.54,"9,096,200",0.988997555012225
"Jul 23, 2020",25.26,25.42,24.28,24.64,24.64,"9,939,300",0.9541213063763608
"Jul 22, 2020",25.40,25.66,24.75,25.39,25.39,"11,745,300",0.9447852760736197
"Jul 21, 2020",26.50,26.52,25.47,25.72,25.72,"10,488,400",-
"Jul 20, 2020",24.98,26.15,24.85,26.08,26.08,"8,068,400",-
"Jul 17, 2020",24.93,25.01,24.41,24.93,24.93,"7,535,300",1.0461291616526274
"Jul 16, 2020",24.39,24.74,24.01,24.65,24.65,"8,761,200",1.00767987065481
"Jul 15, 2020",25.12,25.70,24.18,24.62,24.62,"10,930,700",0.9951554299555914
"Jul 14, 2020",24.64,25.01,23.76,24.74,24.74,"14,933,700",-
"Jul 13, 2020",27.07,27.22,24.72,24.77,24.77,"11,553,500",-
"Jul 10, 2020",27.32,27.35,26.09,26.56,26.56,"12,810,600",0.932605421686747
"Jul 09, 2020",27.32,27.83,26.77,27.42,27.42,"13,994,600",1.0274661508704062
"Jul 08, 2020",26.13,27.00,25.95,27.00,27.00,"16,272,800",1.0619674670797832
"Jul 07, 2020",25.58,26.30,25.34,25.85,25.85,"12,016,700",-
"Jul 06, 2020",24.56,26.07,24.31,25.82,25.82,"21,918,200",-
"Jul 02, 2020",23.95,24.55,23.78,24.11,24.11,"18,224,300",-
"Jul 01, 2020",22.53,23.60,22.46,23.28,23.28,"15,591,300",1.0939201451905627
"Jun 30, 2020",22.09,22.27,21.46,22.17,22.17,"8,253,600",-
"Jun 29, 2020",21.20,22.09,20.07,22.04,22.04,"14,328,900",-
"Jun 26, 2020",22.69,23.74,21.25,21.61,21.61,"45,955,800",1.019898195279963
"Jun 25, 2020",22.94,23.49,22.36,22.58,22.58,"12,023,100",0.8977980889073535
"Jun 24, 2020",23.82,24.17,22.35,23.17,23.17,"12,040,000",0.9427974947807932
"Jun 23, 2020",24.01,24.33,23.57,24.07,24.07,"14,326,800",-
"Jun 22, 2020",23.33,24.17,23.26,23.95,23.95,"14,628,500",-
"Jun 19, 2020",23.37,24.35,23.20,23.21,23.21,"20,789,200",1.031882809133994
"Jun 18, 2020",22.23,23.32,22.22,23.06,23.06,"18,077,600",1.0454954954954956
"Jun 17, 2020",22.20,22.58,21.38,22.40,22.40,"15,640,100",1.090307328605201
"Jun 16, 2020",22.00,22.27,21.32,22.20,22.20,"8,359,200",-
"Jun 15, 2020",20.15,21.31,20.07,21.15,21.15,"11,299,200",-
"Jun 12, 2020",21.00,21.30,20.35,20.89,20.89,"10,024,000",1.01244614648157
"Jun 11, 2020",20.91,21.53,20.24,20.26,20.26,"12,345,500",0.9478221415607986
"Jun 10, 2020",21.90,22.53,21.40,22.41,22.41,"12,002,100",0.9130238846327174
"Jun 09, 2020",21.75,22.73,21.71,22.04,22.04,"9,601,500",-
"Jun 08, 2020",22.35,22.56,21.53,22.19,22.19,"19,721,700",-
"Jun 05, 2020",21.60,22.70,21.11,22.13,22.13,"12,161,100",1.0027112516945325
"Jun 04, 2020",21.40,22.18,20.95,21.20,21.20,"12,885,500",1.0789858605558262
"Jun 03, 2020",20.73,21.64,20.53,21.44,21.44,"9,419,400",1.0376896720509055
"Jun 02, 2020",20.53,20.89,19.91,20.51,20.51,"12,044,900",-
"Jun 01, 2020",20.15,20.55,20.05,20.43,20.43,"7,965,900",-
"May 29, 2020",19.75,20.32,19.68,20.29,20.29,"12,661,200",1.0068999507146377
"May 28, 2020",19.28,20.23,18.95,19.80,19.80,"13,932,100",1.0405128205128205
"May 27, 2020",19.50,19.51,18.25,19.11,19.11,"12,345,700",-
"May 26, 2020",19.20,19.68,19.04,19.50,19.50,"13,178,000",-
"May 22, 2020",18.82,18.89,18.13,18.60,18.60,"7,853,500",-
"May 21, 2020",19.00,19.19,18.31,18.69,18.69,"8,308,600",0.9967845659163987
"May 20, 2020",19.00,19.31,18.30,18.89,18.89,"12,830,000",1.0091792656587475
"May 19, 2020",18.64,19.44,18.04,18.66,18.66,"19,239,000",-
"May 18, 2020",18.90,18.93,18.30,18.52,18.52,"10,652,400",-
"May 15, 2020",16.87,18.28,16.58,18.24,18.24,"12,742,000",1.0153508771929824
"May 14, 2020",16.48,17.09,15.82,17.06,17.06,"11,330,800",1.0270270270270268
"May 13, 2020",17.82,18.09,16.54,16.61,16.61,"18,285,500",0.9167114454594304
"May 12, 2020",18.92,18.97,17.74,17.76,17.76,"16,667,200",-
"May 11, 2020",19.07,19.32,18.57,18.61,18.61,"16,376,700",-
"May 08, 2020",19.00,19.86,18.81,19.79,19.79,"16,236,300",0.9403739262253663
"May 07, 2020",17.99,18.98,17.90,18.70,18.70,"20,315,700",0.9509851033157136
"May 06, 2020",17.64,18.62,17.20,17.72,17.72,"39,651,500",0.8726084927671488
"May 05, 2020",21.60,22.08,20.66,20.81,20.81,"27,864,800",-
"May 04, 2020",19.51,21.49,19.21,21.43,21.43,"11,793,300",-
"May 01, 2020",19.97,20.43,19.64,19.75,19.75,"9,314,000",1.0850632911392404
"Apr 30, 2020",20.82,21.06,20.38,20.66,20.66,"10,007,500",0.9929612870789342
"Apr 29, 2020",20.74,21.10,20.40,20.85,20.85,"10,446,600",0.9942252165543791
"Apr 28, 2020",21.02,21.02,19.56,19.89,19.89,"8,637,300",-
"Apr 27, 2020",20.96,21.56,20.58,20.78,20.78,"14,820,700",-
"Apr 24, 2020",19.04,20.70,18.87,20.62,20.62,"16,788,900",1.0077594568380213
"Apr 23, 2020",19.19,19.31,18.55,18.85,18.85,"8,599,200",1.2222880853586247
"Apr 22, 2020",17.49,19.49,17.49,19.26,19.26,"24,208,600",1.0814687320711418
"Apr 21, 2020",17.05,17.52,16.43,16.87,16.87,"11,294,900",-
"Apr 20, 2020",17.05,18.13,17.00,17.43,17.43,"10,708,500",-
"Apr 17, 2020",17.65,17.75,17.23,17.45,17.45,"6,077,700",0.9988538681948425
"Apr 16, 2020",17.20,17.33,16.45,17.01,17.01,"7,980,700",1.0121809744779582
"Apr 15, 2020",16.74,17.37,16.33,17.03,17.03,"9,345,400",1.032786885245902
"Apr 14, 2020",16.91,17.42,16.68,17.24,17.24,"8,475,800",-
"Apr 13, 2020",16.76,16.76,16.14,16.47,16.47,"6,450,000",-
"Apr 09, 2020",17.01,17.66,16.23,16.75,16.75,"13,323,300",-
"Apr 08, 2020",16.57,17.00,15.90,16.83,16.83,"24,639,900",1.101249178172255
"Apr 07, 2020",15.75,16.06,14.82,15.06,15.06,"10,629,700",-
"Apr 06, 2020",14.62,15.28,14.43,15.21,15.21,"8,265,200",-
"Apr 03, 2020",13.56,14.00,13.38,13.82,13.82,"5,696,600",1.1005788712011577
"Apr 02, 2020",14.08,14.72,13.40,13.70,13.70,"7,888,600",0.895077720207254
"Apr 01, 2020",14.60,14.69,13.87,14.17,14.17,"9,082,500",0.8884565499351491
"Mar 31, 2020",15.42,16.13,15.09,15.44,15.44,"8,506,800",-
"Mar 30, 2020",14.88,15.51,14.32,15.42,15.42,"10,071,400",-
"Mar 27, 2020",14.60,15.47,14.45,14.94,14.94,"10,767,500",1.0321285140562249
"Mar 26, 2020",14.00,15.58,13.95,15.20,15.20,"10,981,100",1.0476858345021038
"Mar 25, 2020",14.60,14.95,13.67,14.03,14.03,"14,894,700",1.2140575079872205
"Mar 24, 2020",13.46,14.28,12.99,14.26,14.26,"14,813,100",-
"Mar 23, 2020",12.12,12.88,11.47,12.52,12.52,"9,910,100",-
"Mar 20, 2020",13.13,13.61,12.01,12.21,12.21,"10,624,600",1.0253890253890252
"Mar 19, 2020",10.60,13.05,10.40,12.61,12.61,"14,851,400",0.9652173913043479
"Mar 18, 2020",11.55,12.40,10.10,10.92,10.92,"13,387,600",1.0833333333333333
"Mar 17, 2020",11.65,12.78,10.51,12.65,12.65,"15,405,500",-
"Mar 16, 2020",12.82,12.82,11.36,11.64,11.64,"18,504,600",-
"Mar 13, 2020",14.14,14.31,13.31,14.31,14.31,"13,005,600",0.8134171907756813
"Mar 12, 2020",13.81,14.23,12.19,13.31,13.31,"23,981,100",0.8548387096774195
"Mar 11, 2020",16.16,16.34,14.94,15.45,15.45,"14,318,700",0.8210980876002467
"Mar 10, 2020",16.96,17.05,15.82,16.74,16.74,"10,293,200",-
"Mar 09, 2020",17.00,17.48,16.20,16.21,16.21,"13,991,100",-
"Mar 06, 2020",18.50,18.70,17.82,18.51,18.51,"12,322,500",0.8757428417071853
"Mar 05, 2020",19.43,19.58,18.65,18.94,18.94,"9,300,300",0.9600622406639004
"Mar 04, 2020",19.65,19.82,19.16,19.80,19.80,"8,670,100",0.9470000000000001
"Mar 03, 2020",20.00,20.18,19.20,19.28,19.28,"9,795,700",-
"Mar 02, 2020",19.90,20.00,19.05,20.00,20.00,"14,254,100",-
"Feb 28, 2020",18.94,20.13,18.92,19.50,19.50,"26,201,800",1.0256410256410255
"Feb 27, 2020",19.74,20.71,19.27,20.21,20.21,"17,688,800",0.9303435114503816
"Feb 26, 2020",20.96,21.44,19.76,20.31,20.31,"15,987,300",0.9334872979214781
"Feb 25, 2020",21.72,22.09,20.70,20.96,20.96,"14,678,600",-
"Feb 24, 2020",21.24,21.98,21.07,21.65,21.65,"12,468,100",-
"Feb 21, 2020",23.34,23.44,22.30,22.48,22.48,"12,294,300",0.9630782918149465
"Feb 20, 2020",23.88,24.39,23.18,23.54,23.54,"11,347,900",0.9876977152899824
"Feb 19, 2020",22.81,23.86,22.64,23.60,23.60,"13,889,600",-
"Feb 18, 2020",23.20,23.69,22.66,22.76,22.76,"11,171,000",-
