Date,Open,High,Low,Close*,Adj Close**,Volume,3day_before_change
"Sep 09, 2020",52.75,55.77,52.35,55.24,55.24,"4,048,600",-
"Sep 08, 2020",46.43,53.70,46.43,51.89,51.89,"5,589,900",-
"Sep 04, 2020",51.94,52.48,42.61,49.22,49.22,"7,285,200",-
"Sep 03, 2020",55.99,56.13,50.04,51.15,51.15,"4,772,900",0.844688518963446
"Sep 02, 2020",58.92,59.00,54.68,57.08,57.08,"3,547,300",0.9043493635077793
"Sep 01, 2020",56.30,58.47,55.13,58.27,58.27,"3,501,100",-
"Aug 31, 2020",55.41,56.97,54.82,56.56,56.56,"4,038,000",-
"Aug 28, 2020",52.67,55.79,51.67,55.51,55.51,"3,896,100",1.0189155107187895
"Aug 27, 2020",50.41,52.78,50.41,52.10,52.10,"3,446,300",1.0929316794644615
"Aug 26, 2020",51.30,51.65,49.42,50.03,50.03,"2,815,100",1.0215686274509803
"Aug 25, 2020",51.35,51.87,49.73,50.79,50.79,"3,664,900",-
"Aug 24, 2020",48.80,51.20,48.18,51.00,51.00,"4,435,800",-
"Aug 21, 2020",46.27,48.49,46.02,48.23,48.23,"3,006,600",1.057433132904831
"Aug 20, 2020",47.20,47.81,45.86,45.99,45.99,"2,536,400",1.0414597279205353
"Aug 19, 2020",46.48,49.10,46.35,48.14,48.14,"5,098,200",0.9635449402891264
"Aug 18, 2020",47.84,48.13,44.65,46.31,46.31,"3,594,500",-
"Aug 17, 2020",46.19,49.42,46.18,47.73,47.73,"3,106,700",-
"Aug 14, 2020",46.35,47.85,44.94,45.63,45.63,"2,502,500",1.0460223537146613
"Aug 13, 2020",45.17,47.36,44.63,46.73,46.73,"3,074,200",1.0769412320037763
"Aug 12, 2020",43.04,45.79,42.56,44.94,44.94,"3,710,600",0.9883671742808797
"Aug 11, 2020",47.75,47.85,41.92,42.37,42.37,"5,289,400",-
"Aug 10, 2020",45.39,48.06,45.31,47.28,47.28,"4,000,300",-
