Date,Open,High,Low,Close*,Adj Close**,Volume,3day_before_change
"Sep 09, 2020",369.75,394.80,362.12,389.65,389.65,"17,252,500",-
"Sep 08, 2020",350.70,365.50,345.68,350.88,350.88,"7,966,500",-
"Sep 04, 2020",375.50,386.01,346.76,369.89,369.89,"13,230,100",-
"Sep 03, 2020",399.55,409.90,367.00,381.32,381.32,"20,304,300",0.8081671000021848
"Sep 02, 2020",445.67,445.67,410.00,423.56,423.56,"18,866,800",1.1729314057213165
"Sep 01, 2020",439.51,478.00,410.68,457.69,457.69,"53,346,800",-
"Aug 31, 2020",304.01,325.90,301.27,325.10,325.10,"23,468,100",-
"Aug 28, 2020",299.22,303.58,297.26,299.27,299.27,"5,353,400",1.0863100210512249
"Aug 27, 2020",295.69,301.52,290.33,294.68,294.68,"5,560,600",1.0304021484643988
"Aug 26, 2020",293.00,302.00,290.85,295.27,295.27,"5,692,100",1.0439280147371406
"Aug 25, 2020",279.00,293.72,275.81,290.44,290.44,"4,602,900",-
"Aug 24, 2020",293.00,293.87,274.11,282.28,282.28,"6,463,500",-
"Aug 21, 2020",291.00,295.97,286.94,289.68,289.68,"5,250,100",0.9744545705606185
"Aug 20, 2020",274.45,290.88,273.99,290.69,290.69,"9,318,400",1.0465317919075143
"Aug 19, 2020",274.68,279.59,270.32,273.51,273.51,"4,674,000",1.0922036445613377
"Aug 18, 2020",271.72,277.78,265.50,276.80,276.80,"6,517,000",-
"Aug 17, 2020",248.70,267.94,248.51,266.15,266.15,"8,959,200",-
"Aug 14, 2020",249.44,252.43,242.40,244.91,244.91,"3,662,800",1.0867257359846474
"Aug 13, 2020",238.15,250.10,238.15,247.25,247.25,"4,749,700",1.060032894736842
"Aug 12, 2020",232.30,239.40,230.75,236.72,236.72,"3,932,300",0.989
"Aug 11, 2020",245.48,245.48,230.00,231.04,231.04,"9,730,500",-
"Aug 10, 2020",259.14,261.44,244.54,250.00,250.00,"5,714,000",-
"Aug 07, 2020",266.45,268.00,252.79,258.73,258.73,"5,024,700",0.9662582615081359
"Aug 06, 2020",273.87,274.48,263.91,268.25,268.25,"3,602,900",0.9677938206029777
"Aug 05, 2020",266.29,275.09,262.52,272.90,272.90,"4,514,900",1.0009328358208955
"Aug 04, 2020",268.00,269.19,262.00,267.34,267.34,"3,087,300",-
"Aug 03, 2020",256.83,271.10,256.11,268.00,268.00,"6,779,300",-
"Jul 31, 2020",253.50,255.20,248.36,253.91,253.91,"3,381,100",1.0554921035012406
"Jul 30, 2020",250.31,256.33,239.32,250.00,250.00,"7,926,100",1.0068601792370528
"Jul 29, 2020",255.55,259.93,251.15,252.39,252.39,"3,333,700",0.9907660603178376
"Jul 28, 2020",252.70,258.91,251.32,252.18,252.18,"3,366,200",-
"Jul 27, 2020",249.28,252.97,246.22,252.33,252.33,"3,328,600",-
"Jul 24, 2020",246.20,250.21,237.20,246.56,246.56,"4,303,200",1.0234020116807268
"Jul 23, 2020",260.84,264.90,249.21,251.50,251.50,"4,589,400",0.9467055751804638
"Jul 22, 2020",261.95,265.40,255.81,261.18,261.18,"4,581,600",0.9364062849058009
"Jul 21, 2020",268.75,269.75,258.20,260.44,260.44,"4,762,000",-
"Jul 20, 2020",246.49,271.35,245.99,268.58,268.58,"9,784,900",-
"Jul 17, 2020",247.17,250.94,241.29,246.54,246.54,"4,626,600",1.0893972580514317
"Jul 16, 2020",250.39,253.00,243.43,248.54,248.54,"5,420,100",0.9481943002192224
"Jul 15, 2020",253.70,257.50,248.12,256.22,256.22,"6,073,600",0.9548213599692662
"Jul 14, 2020",260.96,265.33,240.45,260.01,260.01,"8,713,100",-
"Jul 13, 2020",278.63,281.00,256.34,260.30,260.30,"9,293,000",-
"Jul 10, 2020",271.77,278.16,268.64,275.87,275.87,"6,354,800",0.9435603726392866
"Jul 09, 2020",269.01,272.70,264.22,269.52,269.52,"5,396,000",1.0525371995421593
"Jul 08, 2020",263.80,268.53,261.29,266.32,266.32,"6,012,900",1.0326436781609194
"Jul 07, 2020",261.55,266.45,258.10,262.10,262.10,"7,819,700",-
"Jul 06, 2020",265.00,275.08,259.32,261.00,261.00,"12,250,200",-
"Jul 02, 2020",261.00,263.80,258.00,261.74,261.74,"5,629,000",-
"Jul 01, 2020",251.35,261.00,247.21,259.13,259.13,"6,803,300",1.0530254264563887
"Jun 30, 2020",249.87,256.83,248.35,253.54,253.54,"6,305,500",-
"Jun 29, 2020",254.97,255.90,243.59,248.56,248.56,"8,436,400",-
"Jun 26, 2020",260.52,261.62,250.36,256.80,256.80,"17,142,900",0.9679127725856698
"Jun 25, 2020",258.23,260.29,252.66,259.51,259.51,"7,490,500",1.0157826035362525
"Jun 24, 2020",254.50,258.75,248.60,255.90,255.90,"9,862,800",1.0327934094798423
"Jun 23, 2020",251.26,254.77,247.57,252.81,252.81,"8,791,500",-
"Jun 22, 2020",247.46,254.90,247.29,251.27,251.27,"11,093,700",-
"Jun 19, 2020",241.64,243.57,238.70,243.48,243.48,"10,077,500",1.0319944143256121
"Jun 18, 2020",240.39,242.61,238.22,241.57,241.57,"9,340,900",1.0037928759894459
"Jun 17, 2020",243.18,243.88,235.12,236.76,236.76,"11,691,400",1.0106685633001422
"Jun 16, 2020",235.99,243.50,231.82,242.56,242.56,"11,333,300",-
"Jun 15, 2020",227.84,239.59,226.38,239.02,239.02,"13,959,100",-
"Jun 12, 2020",224.79,231.45,216.75,219.52,219.52,"8,766,000",1.0888301749271136
"Jun 11, 2020",219.18,232.00,218.50,222.07,222.07,"17,615,800",1.0685878401401938
"Jun 10, 2020",208.89,221.53,208.26,221.02,221.02,"12,241,100",1.0583329361864366
"Jun 09, 2020",209.83,210.59,202.93,205.43,205.43,"7,521,800",-
"Jun 08, 2020",204.35,211.44,198.66,209.83,209.83,"10,457,500",-
