Date,Open,High,Low,Close*,Adj Close**,Volume,3day_before_change
"Sep 09, 2020",10.15,10.44,9.54,9.73,9.73,"4,003,700",-
"Sep 08, 2020",10.02,10.54,9.89,10.00,10.00,"3,360,500",-
"Sep 04, 2020",11.10,11.20,9.63,10.42,10.42,"6,744,600",-
"Sep 03, 2020",11.49,12.33,10.81,11.22,11.22,"12,030,600",0.6837270341207349
"Sep 02, 2020",16.88,17.79,15.25,16.17,16.17,"8,897,000",0.8256070640176602
"Sep 01, 2020",13.75,15.32,13.69,15.24,15.24,"4,486,700",-
"Aug 31, 2020",13.60,13.70,13.33,13.59,13.59,"1,565,600",-
"Aug 28, 2020",13.01,13.48,13.00,13.46,13.46,"1,280,200",1.0096582466567607
"Aug 27, 2020",13.22,13.27,12.73,12.98,12.98,"1,187,300",1.1445578231292517
"Aug 26, 2020",11.87,13.19,11.87,13.09,13.09,"3,346,000",1.1267361111111112
"Aug 25, 2020",11.52,11.77,11.37,11.76,11.76,"954,800",-
"Aug 24, 2020",11.74,11.74,11.36,11.52,11.52,"1,129,700",-
"Aug 21, 2020",11.75,11.94,11.43,11.59,11.59,"2,222,600",0.993960310612597
"Aug 20, 2020",11.70,12.02,11.60,11.88,11.88,"929,000",0.9772344013490726
"Aug 19, 2020",11.90,11.98,11.60,11.77,11.77,"761,700",1.0214961306964747
"Aug 18, 2020",11.75,11.97,11.71,11.86,11.86,"660,500",-
"Aug 17, 2020",11.91,11.97,11.47,11.63,11.63,"986,200",-
"Aug 14, 2020",11.83,12.12,11.76,11.86,11.86,"712,800",0.9806070826306915
"Aug 13, 2020",11.69,12.12,11.69,11.84,11.84,"809,900",1.037620297462817
"Aug 12, 2020",11.56,11.81,11.44,11.66,11.66,"776,200",1.025108225108225
"Aug 11, 2020",11.61,11.70,11.40,11.43,11.43,"959,200",-
"Aug 10, 2020",11.71,11.79,11.28,11.55,11.55,"1,027,000",-
"Aug 07, 2020",12.05,12.15,11.38,11.73,11.73,"939,900",0.9846547314578006
"Aug 06, 2020",12.48,12.59,11.99,12.14,12.14,"733,400",0.9882055602358889
"Aug 05, 2020",11.96,12.47,11.94,12.44,12.44,"1,569,300",1.027072758037225
"Aug 04, 2020",11.71,11.91,11.51,11.87,11.87,"694,700",-
"Aug 03, 2020",11.67,11.97,11.55,11.82,11.82,"955,600",-
"Jul 31, 2020",11.53,11.65,11.15,11.64,11.64,"907,300",1.0154639175257731
